Title,Deliberative Tools,Status
Visualize http://Pol.is survey with Deliberative Canvas,"Deliberative Canvas (Deliberative%20Canvas%20efbd00ed6ce94c54a6a68b84b9ab628a.html), Pol.is (Pol%20is%203cf0077ba2914f73be3a326c5281f4e7.html)",Prototype
Rank evidence claims,"Micropublishing (Micropublishing%20c0d92fc37c9042018d6878f7b0af2b6d.html), Power Ranker (Power%20Ranker%20a42e47d0bb96461fb27f9717b2f2cf36.html)",Idea
Query all Deliberative Tools Information with KOI,,
Discourse Graphs x SwarmCheck,,
Harmonica x SwarmCheck,Harmonica (Harmonica%201053e90bf9f18071a3a1d9625a6b6389.html),
SwarmCheck x Evocracy x Policy Kit,,
Join Platform,"Quorum Bot (Quorum%20Bot%201253e90bf9f18065be14e6157e4518c2.html), Pol.is (Pol%20is%203cf0077ba2914f73be3a326c5281f4e7.html), Topic Framing & Dimension Committee (Topic%20Framing%20&%20Dimension%20Committee%201253e90bf9f180eeb52cde63511b1dfd.html)",Active
Harmonica x (Citizens Assembly),"Harmonica (Harmonica%201053e90bf9f18071a3a1d9625a6b6389.html), Evocracy (Evocracy%201133e90bf9f18090bd2bce5902b92725.html), Iswe (Iswe%2010b3e90bf9f1801ebe40f3f3c49e43da.html)",
Harmonica x MicroPublishing,"Harmonica (Harmonica%201053e90bf9f18071a3a1d9625a6b6389.html), Micropublishing (Micropublishing%20c0d92fc37c9042018d6878f7b0af2b6d.html)",
LiquidFeedback,Quorum Bot (Quorum%20Bot%201253e90bf9f18065be14e6157e4518c2.html),
Decidim x PB Stanford,Decidim (Decidim%2010b3e90bf9f180488dd9f13b2c1b1b73.html),Active
